onset	duration	value	sample	trial_type	word	probe_type	response
24.691	0.0	162	24691	word	dialogue		
25.6	0.0	162	25600	word	phantom		
26.52	0.0	162	26520	word	observe		
27.456	0.0	162	27456	word	sect		
28.191	0.0	162	28191	word	fest		
28.994	0.0	162	28994	word	precinct		
29.88	0.0	162	29880	word	cycle		
30.599	0.0	162	30599	word	reside		
31.468	0.0	162	31468	word	wide		
32.053	0.0	162	32053	word	remedy		
32.822	0.0	162	32822	word	male		
33.491	0.0	162	33491	word	shear		
34.193	0.0	162	34193	word	equity		
34.928	0.0	162	34928	word	droop		
35.547	0.0	162	35547	word	trim		
36.232	0.0	162	36232	word	message		
37.001	0.0	162	37001	word	run		
37.637	0.0	162	37637	word	violin		
38.539	0.0	162	38539	word	staunch		
39.459	0.0	162	39459	word	organize		
40.545	0.0	167	40545	probe	probe_coordinate	yes	2
43.905	0.0	163	43905	word	commute		
44.607	0.0	162	44607	word	deny		
45.61	0.0	162	45610	word	bore		
46.229	0.0	162	46229	word	raw		
46.848	0.0	162	46848	word	ferocious		
47.75	0.0	162	47750	word	dictate		
48.419	0.0	162	48419	word	imitate		
49.071	0.0	162	49071	word	wander		
49.806	0.0	162	49806	word	lumbar		
50.709	0.0	162	50709	word	mug		
51.428	0.0	162	51428	word	easel		
52.13	0.0	162	52130	word	feud		
52.866	0.0	162	52866	word	ceiling		
53.701	0.0	162	53701	word	aroma		
54.521	0.0	162	54521	word	explode		
55.407	0.0	162	55407	word	challenge		
56.226	0.0	162	56226	word	jam		
56.961	0.0	162	56961	word	finger		
57.831	0.0	162	57831	word	report		
58.65	0.0	162	58650	word	foray		
59.435	0.0	166	59435	probe	probe_exterior	no	1
61.458	0.0	163	61458	word	stab		
62.227	0.0	162	62227	word	rate		
62.862	0.0	162	62862	word	convey		
63.615	0.0	162	63615	word	vile		
64.4	0.0	162	64400	word	node		
65.086	0.0	162	65086	word	beverage		
65.855	0.0	166	65855	probe	probe_conceive	no	1
68.63	0.0	163	68630	word	seem		
69.449	0.0	162	69449	word	knee		
70.017	0.0	162	70017	word	escort		
70.786	0.0	162	70786	word	expense		
71.672	0.0	162	71672	word	inflict		
72.658	0.0	162	72658	word	orchid		
73.377	0.0	162	73377	word	knife		
74.063	0.0	162	74063	word	tactic		
74.815	0.0	162	74815	word	spur		
75.567	0.0	162	75567	word	rapt		
76.236	0.0	162	76236	word	consolidate		
77.206	0.0	162	77206	word	rally		
77.941	0.0	166	77941	probe	probe_threat	no	1
79.329	0.0	163	79329	word	talent		
80.064	0.0	162	80064	word	torrent		
80.8	0.0	162	80800	word	bran		
81.602	0.0	162	81602	word	plot		
82.271	0.0	162	82271	word	punish		
82.99	0.0	162	82990	word	gurgle		
83.675	0.0	162	83675	word	somber		
84.477	0.0	162	84477	word	grammar		
85.213	0.0	162	85213	word	stash		
86.216	0.0	162	86216	word	peril		
86.818	0.0	162	86818	word	sigh		
87.654	0.0	162	87654	word	botch		
88.339	0.0	162	88339	word	electric		
89.292	0.0	162	89292	word	snip		
90.044	0.0	162	90044	word	initial		
90.713	0.0	162	90713	word	cylinder		
91.599	0.0	162	91599	word	troop		
92.267	0.0	162	92267	word	share		
