onset	duration	value	sample	trial_type	word	probe_type	response
26.322	0.0	162	26322	word	dialogue		
27.231	0.0	162	27231	word	phantom		
28.15	0.0	162	28150	word	observe		
29.103	0.0	162	29103	word	sect		
29.838	0.0	162	29838	word	fest		
30.624	0.0	162	30624	word	precinct		
31.51	0.0	162	31510	word	cycle		
32.229	0.0	162	32229	word	reside		
33.098	0.0	162	33098	word	wide		
33.683	0.0	162	33683	word	remedy		
34.452	0.0	162	34452	word	male		
35.121	0.0	162	35121	word	shear		
35.823	0.0	162	35823	word	equity		
36.575	0.0	162	36575	word	droop		
37.177	0.0	162	37177	word	trim		
37.863	0.0	162	37863	word	message		
38.632	0.0	162	38632	word	run		
39.25	0.0	162	39250	word	violin		
40.136	0.0	162	40136	word	staunch		
41.039	0.0	162	41039	word	organize		
42.125	0.0	167	42125	probe	probe_coordinate	yes	2
45.569	0.0	163	45569	word	commute		
46.271	0.0	162	46271	word	deny		
47.274	0.0	162	47274	word	bore		
47.893	0.0	162	47893	word	raw		
48.511	0.0	162	48511	word	ferocious		
49.414	0.0	162	49414	word	dictate		
50.083	0.0	162	50083	word	imitate		
50.735	0.0	162	50735	word	wander		
51.47	0.0	162	51470	word	lumbar		
52.373	0.0	162	52373	word	mug		
53.092	0.0	162	53092	word	easel		
53.794	0.0	162	53794	word	feud		
54.529	0.0	162	54529	word	ceiling		
55.365	0.0	162	55365	word	aroma		
56.184	0.0	162	56184	word	explode		
57.07	0.0	162	57070	word	challenge		
57.889	0.0	162	57889	word	jam		
58.625	0.0	162	58625	word	finger		
59.494	0.0	162	59494	word	report		
60.313	0.0	162	60313	word	foray		
61.099	0.0	166	61099	probe	probe_exterior	no	1
68.488	0.0	163	68488	word	stab		
69.257	0.0	162	69257	word	rate		
69.875	0.0	162	69875	word	convey		
70.644	0.0	162	70644	word	vile		
71.43	0.0	162	71430	word	node		
72.116	0.0	162	72116	word	beverage		
72.884	0.0	166	72884	probe	probe_conceive	no	1
74.305	0.0	163	74305	word	seem		
75.108	0.0	162	75108	word	knee		
75.66	0.0	162	75660	word	escort		
76.412	0.0	162	76412	word	expense		
77.315	0.0	162	77315	word	inflict		
78.301	0.0	162	78301	word	orchid		
79.02	0.0	162	79020	word	knife		
79.688	0.0	162	79688	word	tactic		
80.441	0.0	162	80441	word	spur		
81.21	0.0	162	81210	word	rapt		
81.862	0.0	162	81862	word	consolidate		
82.848	0.0	162	82848	word	rally		
83.6	0.0	166	83600	probe	probe_threat	no	1
85.974	0.0	163	85974	word	talent		
86.709	0.0	162	86709	word	torrent		
87.445	0.0	162	87445	word	bran		
88.247	0.0	162	88247	word	plot		
88.916	0.0	162	88916	word	punish		
89.618	0.0	162	89618	word	gurgle		
90.287	0.0	162	90287	word	somber		
91.089	0.0	162	91089	word	grammar		
91.808	0.0	162	91808	word	stash		
92.811	0.0	162	92811	word	peril		
93.43	0.0	162	93430	word	sigh		
94.266	0.0	162	94266	word	botch		
94.951	0.0	162	94951	word	electric		
95.904	0.0	162	95904	word	snip		
96.673	0.0	162	96673	word	initial		
97.341	0.0	162	97341	word	cylinder		
98.227	0.0	162	98227	word	troop		
98.879	0.0	162	98879	word	share		
99.582	0.0	162	99582	word	posture		
