onset	duration	value	sample	trial_type	word	probe_type	response
40.891	0.0	162	40891	word	dialogue		
41.81	0.0	162	41810	word	phantom		
42.73	0.0	162	42730	word	observe		
43.666	0.0	162	43666	word	sect		
44.401	0.0	162	44401	word	fest		
45.187	0.0	162	45187	word	precinct		
46.073	0.0	162	46073	word	cycle		
46.775	0.0	162	46775	word	reside		
47.661	0.0	162	47661	word	wide		
48.246	0.0	162	48246	word	remedy		
49.032	0.0	162	49032	word	male		
49.7	0.0	162	49700	word	shear		
50.403	0.0	162	50403	word	equity		
51.138	0.0	162	51138	word	droop		
51.757	0.0	162	51757	word	trim		
52.442	0.0	162	52442	word	message		
53.211	0.0	162	53211	word	run		
53.846	0.0	162	53846	word	violin		
54.749	0.0	162	54749	word	staunch		
55.652	0.0	162	55652	word	organize		
56.738	0.0	167	56738	probe	probe_coordinate	yes	2
58.828	0.0	163	58828	word	commute		
59.53	0.0	162	59530	word	deny		
60.533	0.0	162	60533	word	bore		
61.152	0.0	162	61152	word	raw		
61.77	0.0	162	61770	word	ferocious		
62.69	0.0	162	62690	word	dictate		
63.342	0.0	162	63342	word	imitate		
63.993	0.0	162	63993	word	wander		
64.729	0.0	162	64729	word	lumbar		
65.648	0.0	162	65648	word	mug		
66.367	0.0	162	66367	word	easel		
67.069	0.0	162	67069	word	feud		
67.805	0.0	162	67805	word	ceiling		
68.657	0.0	162	68657	word	aroma		
69.46	0.0	162	69460	word	explode		
70.346	0.0	162	70346	word	challenge		
71.165	0.0	162	71165	word	jam		
71.917	0.0	162	71917	word	finger		
72.787	0.0	162	72787	word	report		
73.606	0.0	162	73606	word	foray		
74.391	0.0	166	74391	probe	probe_exterior	no	1
78.353	0.0	163	78353	word	stab		
79.139	0.0	162	79139	word	rate		
79.758	0.0	162	79758	word	convey		
80.527	0.0	162	80527	word	vile		
81.312	0.0	162	81312	word	node		
81.998	0.0	162	81998	word	beverage		
82.766	0.0	166	82766	probe	probe_conceive	no	1
84.238	0.0	163	84238	word	seem		
85.04	0.0	162	85040	word	knee		
85.592	0.0	162	85592	word	escort		
86.344	0.0	162	86344	word	expense		
87.247	0.0	162	87247	word	inflict		
88.233	0.0	162	88233	word	orchid		
88.969	0.0	162	88969	word	knife		
89.654	0.0	162	89654	word	tactic		
90.406	0.0	162	90406	word	spur		
91.175	0.0	162	91175	word	rapt		
91.844	0.0	162	91844	word	consolidate		
92.83	0.0	162	92830	word	rally		
93.566	0.0	166	93566	probe	probe_threat	no	1
95.772	0.0	163	95772	word	talent		
96.508	0.0	162	96508	word	torrent		
97.227	0.0	162	97227	word	bran		
98.029	0.0	162	98029	word	plot		
98.698	0.0	162	98698	word	punish		
99.417	0.0	162	99417	word	gurgle		
100.102	0.0	162	100102	word	somber		
100.904	0.0	162	100904	word	grammar		
101.64	0.0	162	101640	word	stash		
102.643	0.0	162	102643	word	peril		
103.245	0.0	162	103245	word	sigh		
104.081	0.0	162	104081	word	botch		
104.766	0.0	162	104766	word	electric		
105.719	0.0	162	105719	word	snip		
106.471	0.0	162	106471	word	initial		
107.14	0.0	162	107140	word	cylinder		
108.026	0.0	162	108026	word	troop		
108.695	0.0	162	108695	word	share		
109.397	0.0	162	109397	word	posture		
110.266	0.0	167	110266	probe	probe_position	yes	2
112.038	0.0	163	112038	word	fog		
112.84	0.0	162	112840	word	scene		
113.643	0.0	162	113643	word	pulp		
114.211	0.0	162	114211	word	connect		
114.863	0.0	162	114863	word	venture		
115.716	0.0	162	115716	word	salary		
116.568	0.0	162	116568	word	swim		
117.304	0.0	162	117304	word	carnival		
118.106	0.0	162	118106	word	fray		
118.792	0.0	162	118792	word	eliminate		
119.678	0.0	162	119678	word	develop		
120.463	0.0	162	120463	word	umpire		
121.232	0.0	162	121232	word	disrupt		
122.118	0.0	162	122118	word	rinse		
123.021	0.0	162	123021	word	predicament		
123.874	0.0	162	123874	word	scalpel		
124.659	0.0	162	124659	word	reduce		
125.445	0.0	162	125445	word	rocket		
126.214	0.0	162	126214	word	coarse		
126.916	0.0	167	126916	probe	probe_rough	yes	2
128.136	0.0	163	128136	word	severe		
128.905	0.0	162	128905	word	exam		
129.708	0.0	162	129708	word	dribble		
130.31	0.0	162	130310	word	gown		
131.095	0.0	162	131095	word	barren		
131.781	0.0	162	131781	word	stamp		
132.55	0.0	162	132550	word	crux		
133.235	0.0	162	133235	word	mile		
133.904	0.0	166	133904	probe	probe_rhinoceros	no	1
135.375	0.0	163	135375	word	stink		
136.194	0.0	162	136194	word	velocity		
137.147	0.0	162	137147	word	abroad		
138.083	0.0	162	138083	word	compete		
138.785	0.0	162	138785	word	else		
139.47	0.0	162	139470	word	adept		
140.273	0.0	162	140273	word	eager		
140.925	0.0	162	140925	word	relic		
141.543	0.0	162	141543	word	pinch		
142.262	0.0	162	142262	word	anvil		
143.065	0.0	162	143065	word	come		
143.733	0.0	162	143733	word	braid		
144.402	0.0	162	144402	word	concern		
145.238	0.0	162	145238	word	catch		
146.09	0.0	162	146090	word	vector		
146.876	0.0	162	146876	word	chime		
147.611	0.0	167	147611	probe	probe_bell	yes	2
149.166	0.0	163	149166	word	autumn		
150.019	0.0	162	150019	word	elevate		
150.771	0.0	162	150771	word	file		
151.473	0.0	162	151473	word	desk		
152.159	0.0	162	152159	word	glaze		
152.961	0.0	162	152961	word	conserve		
153.864	0.0	162	153864	word	five		
154.649	0.0	162	154649	word	posse		
155.368	0.0	162	155368	word	indict		
156.104	0.0	162	156104	word	shrewd		
156.873	0.0	162	156873	word	metal		
157.458	0.0	162	157458	word	care		
158.093	0.0	167	158093	probe	probe_aid	yes	2
159.347	0.0	163	159347	word	proxy		
160.166	0.0	166	160166	probe	probe_lug	no	1
161.687	0.0	163	161687	word	graduate		
162.506	0.0	162	162506	word	nominate		
163.376	0.0	162	163376	word	tame		
164.028	0.0	162	164028	word	census		
164.947	0.0	162	164947	word	baboon		
165.699	0.0	162	165699	word	analog		
166.535	0.0	162	166535	word	abstract		
167.455	0.0	162	167455	word	jubilee		
168.341	0.0	162	168341	word	hideous		
169.143	0.0	162	169143	word	oasis		
169.912	0.0	162	169912	word	settle		
170.631	0.0	162	170631	word	lilac		
171.467	0.0	167	171467	probe	probe_lavender	yes	2
