onset	duration	value	sample	trial_type	word	probe_type	response
41.427	0.0	162	41427	word	dialogue		
42.33	0.0	162	42330	word	phantom		
43.249	0.0	162	43249	word	observe		
44.202	0.0	162	44202	word	sect		
44.938	0.0	162	44938	word	fest		
45.723	0.0	162	45723	word	precinct		
46.609	0.0	162	46609	word	cycle		
47.328	0.0	162	47328	word	reside		
48.214	0.0	162	48214	word	wide		
48.799	0.0	162	48799	word	remedy		
49.568	0.0	162	49568	word	male		
50.237	0.0	162	50237	word	shear		
50.939	0.0	162	50939	word	equity		
51.691	0.0	162	51691	word	droop		
52.31	0.0	162	52310	word	trim		
52.995	0.0	162	52995	word	message		
53.764	0.0	162	53764	word	run		
54.399	0.0	162	54399	word	violin		
55.302	0.0	162	55302	word	staunch		
56.205	0.0	162	56205	word	organize		
57.291	0.0	167	57291	probe	probe_coordinate	yes	2
59.949	0.0	163	59949	word	commute		
60.652	0.0	162	60652	word	deny		
61.655	0.0	162	61655	word	bore		
62.273	0.0	162	62273	word	raw		
62.875	0.0	162	62875	word	ferocious		
63.778	0.0	162	63778	word	dictate		
64.446	0.0	162	64446	word	imitate		
65.098	0.0	162	65098	word	wander		
65.834	0.0	162	65834	word	lumbar		
66.737	0.0	162	66737	word	mug		
67.439	0.0	162	67439	word	easel		
68.141	0.0	162	68141	word	feud		
68.876	0.0	162	68876	word	ceiling		
69.712	0.0	162	69712	word	aroma		
70.531	0.0	162	70531	word	explode		
71.417	0.0	162	71417	word	challenge		
72.236	0.0	162	72236	word	jam		
72.989	0.0	162	72989	word	finger		
73.858	0.0	162	73858	word	report		
74.677	0.0	162	74677	word	foray		
75.446	0.0	166	75446	probe	probe_exterior	no	2
92.313	0.0	163	92313	word	stab		
93.099	0.0	162	93099	word	rate		
93.718	0.0	162	93718	word	convey		
94.487	0.0	162	94487	word	vile		
95.272	0.0	162	95272	word	node		
95.958	0.0	162	95958	word	beverage		
96.727	0.0	166	96727	probe	probe_conceive	no	2
107.91	0.0	163	107910	word	seem		
108.729	0.0	162	108729	word	knee		
109.298	0.0	162	109298	word	escort		
110.067	0.0	162	110067	word	expense		
110.97	0.0	162	110970	word	inflict		
111.956	0.0	162	111956	word	orchid		
112.675	0.0	162	112675	word	knife		
113.36	0.0	162	113360	word	tactic		
114.112	0.0	162	114112	word	spur		
114.881	0.0	162	114881	word	rapt		
115.55	0.0	162	115550	word	consolidate		
116.536	0.0	162	116536	word	rally		
117.288	0.0	166	117288	probe	probe_threat	no	1
120.632	0.0	163	120632	word	talent		
121.367	0.0	162	121367	word	torrent		
122.086	0.0	162	122086	word	bran		
122.889	0.0	162	122889	word	plot		
123.557	0.0	162	123557	word	punish		
124.276	0.0	162	124276	word	gurgle		
124.962	0.0	162	124962	word	somber		
125.764	0.0	162	125764	word	grammar		
126.483	0.0	162	126483	word	stash		
127.486	0.0	162	127486	word	peril		
128.104	0.0	162	128104	word	sigh		
128.94	0.0	162	128940	word	botch		
129.626	0.0	162	129626	word	electric		
130.579	0.0	162	130579	word	snip		
131.347	0.0	162	131347	word	initial		
132.016	0.0	162	132016	word	cylinder		
132.902	0.0	162	132902	word	troop		
133.554	0.0	162	133554	word	share		
134.256	0.0	162	134256	word	posture		
135.125	0.0	167	135125	probe	probe_position	yes	2
137.466	0.0	163	137466	word	fog		
138.268	0.0	162	138268	word	scene		
139.087	0.0	162	139087	word	pulp		
139.656	0.0	162	139656	word	connect		
140.308	0.0	162	140308	word	venture		
141.16	0.0	162	141160	word	salary		
142.013	0.0	162	142013	word	swim		
142.748	0.0	162	142748	word	carnival		
143.551	0.0	162	143551	word	fray		
144.236	0.0	162	144236	word	eliminate		
145.139	0.0	162	145139	word	develop		
145.925	0.0	162	145925	word	umpire		
146.694	0.0	162	146694	word	disrupt		
147.58	0.0	162	147580	word	rinse		
148.482	0.0	162	148482	word	predicament		
149.335	0.0	162	149335	word	scalpel		
150.137	0.0	162	150137	word	reduce		
150.923	0.0	162	150923	word	rocket		
151.675	0.0	162	151675	word	coarse		
152.377	0.0	167	152377	probe	probe_rough	yes	2
165.968	0.0	163	165968	word	severe		
166.737	0.0	162	166737	word	exam		
167.556	0.0	162	167556	word	dribble		
168.158	0.0	162	168158	word	gown		
168.944	0.0	162	168944	word	barren		
169.629	0.0	162	169629	word	stamp		
170.398	0.0	162	170398	word	crux		
171.084	0.0	162	171084	word	mile		
171.769	0.0	166	171769	probe	probe_rhinoceros	no	1
174.126	0.0	163	174126	word	stink		
174.945	0.0	162	174945	word	velocity		
175.881	0.0	162	175881	word	abroad		
176.818	0.0	162	176818	word	compete		
177.503	0.0	162	177503	word	else		
178.188	0.0	162	178188	word	adept		
178.991	0.0	162	178991	word	eager		
179.643	0.0	162	179643	word	relic		
180.278	0.0	162	180278	word	pinch		
180.997	0.0	162	180997	word	anvil		
181.799	0.0	162	181799	word	come		
182.451	0.0	162	182451	word	braid		
183.12	0.0	162	183120	word	concern		
183.956	0.0	162	183956	word	catch		
184.825	0.0	162	184825	word	vector		
185.611	0.0	162	185611	word	chime		
186.329	0.0	167	186329	probe	probe_bell	yes	2
189.472	0.0	163	189472	word	autumn		
190.308	0.0	162	190308	word	elevate		
191.06	0.0	162	191060	word	file		
191.746	0.0	162	191746	word	desk		
192.431	0.0	162	192431	word	glaze		
193.217	0.0	162	193217	word	conserve		
194.103	0.0	162	194103	word	five		
194.889	0.0	162	194889	word	posse		
195.607	0.0	162	195607	word	indict		
196.343	0.0	162	196343	word	shrewd		
197.112	0.0	162	197112	word	metal		
197.697	0.0	162	197697	word	care		
198.332	0.0	167	198332	probe	probe_aid	yes	2
202.027	0.0	163	202027	word	proxy		
202.846	0.0	166	202846	probe	probe_lug	no	1
205.236	0.0	163	205236	word	graduate		
206.056	0.0	162	206056	word	nominate		
206.925	0.0	162	206925	word	tame		
207.577	0.0	162	207577	word	census		
208.479	0.0	162	208479	word	baboon		
209.232	0.0	162	209232	word	analog		
210.068	0.0	162	210068	word	abstract		
210.97	0.0	162	210970	word	jubilee		
211.856	0.0	162	211856	word	hideous		
212.659	0.0	162	212659	word	oasis		
213.444	0.0	162	213444	word	settle		
214.163	0.0	162	214163	word	lilac		
214.999	0.0	167	214999	probe	probe_lavender	yes	1
216.621	0.0	163	216621	word	quote		
