onset	duration	value	sample	trial_type	word	probe_type	response
51.862	0.0	162	51862	word	dialogue		
52.765	0.0	162	52765	word	phantom		
53.684	0.0	162	53684	word	observe		
54.637	0.0	162	54637	word	sect		
55.356	0.0	162	55356	word	fest		
56.142	0.0	162	56142	word	precinct		
57.028	0.0	162	57028	word	cycle		
57.73	0.0	162	57730	word	reside		
58.599	0.0	162	58599	word	wide		
59.184	0.0	162	59184	word	remedy		
59.953	0.0	162	59953	word	male		
60.622	0.0	162	60622	word	shear		
61.324	0.0	162	61324	word	equity		
62.06	0.0	162	62060	word	droop		
62.678	0.0	162	62678	word	trim		
63.364	0.0	162	63364	word	message		
64.116	0.0	162	64116	word	run		
64.734	0.0	162	64734	word	violin		
65.62	0.0	162	65620	word	staunch		
66.54	0.0	162	66540	word	organize		
67.626	0.0	167	67626	probe	probe_coordinate	yes	1
69.198	0.0	163	69198	word	commute		
69.9	0.0	162	69900	word	deny		
70.903	0.0	162	70903	word	bore		
71.521	0.0	162	71521	word	raw		
72.123	0.0	162	72123	word	ferocious		
73.026	0.0	162	73026	word	dictate		
73.678	0.0	162	73678	word	imitate		
74.33	0.0	162	74330	word	wander		
75.082	0.0	162	75082	word	lumbar		
75.985	0.0	162	75985	word	mug		
76.687	0.0	162	76687	word	easel		
77.389	0.0	162	77389	word	feud		
78.141	0.0	162	78141	word	ceiling		
78.977	0.0	162	78977	word	aroma		
79.796	0.0	162	79796	word	explode		
80.699	0.0	162	80699	word	challenge		
81.518	0.0	162	81518	word	jam		
82.254	0.0	162	82254	word	finger		
83.123	0.0	162	83123	word	report		
83.942	0.0	162	83942	word	foray		
84.728	0.0	166	84728	probe	probe_exterior	no	1
86.951	0.0	163	86951	word	stab		
87.72	0.0	162	87720	word	rate		
88.339	0.0	162	88339	word	convey		
89.108	0.0	162	89108	word	vile		
89.893	0.0	162	89893	word	node		
90.579	0.0	162	90579	word	beverage		
91.348	0.0	166	91348	probe	probe_conceive	no	1
93.554	0.0	163	93554	word	seem		
94.373	0.0	162	94373	word	knee		
94.925	0.0	162	94925	word	escort		
95.694	0.0	162	95694	word	expense		
