onset	duration	value	sample	trial_type	word	probe_type	response
53.261	0.0	162	53261	word	dialogue		
54.163	0.0	162	54163	word	phantom		
55.083	0.0	162	55083	word	observe		
56.035	0.0	162	56035	word	sect		
56.771	0.0	162	56771	word	fest		
57.557	0.0	162	57557	word	precinct		
58.443	0.0	162	58443	word	cycle		
59.162	0.0	162	59162	word	reside		
60.047	0.0	162	60047	word	wide		
60.633	0.0	162	60633	word	remedy		
61.402	0.0	162	61402	word	male		
62.07	0.0	162	62070	word	shear		
62.772	0.0	162	62772	word	equity		
63.525	0.0	162	63525	word	droop		
64.143	0.0	162	64143	word	trim		
64.829	0.0	162	64829	word	message		
65.598	0.0	162	65598	word	run		
66.233	0.0	162	66233	word	violin		
67.135	0.0	162	67135	word	staunch		
68.038	0.0	162	68038	word	organize		
69.125	0.0	167	69125	probe	probe_coordinate	yes	2
71.114	0.0	163	71114	word	commute		
71.816	0.0	162	71816	word	deny		
72.819	0.0	162	72819	word	bore		
73.454	0.0	162	73454	word	raw		
74.073	0.0	162	74073	word	ferocious		
74.992	0.0	162	74992	word	dictate		
75.661	0.0	162	75661	word	imitate		
76.313	0.0	162	76313	word	wander		
77.065	0.0	162	77065	word	lumbar		
77.985	0.0	162	77985	word	mug		
78.704	0.0	162	78704	word	easel		
79.406	0.0	162	79406	word	feud		
80.141	0.0	162	80141	word	ceiling		
80.994	0.0	162	80994	word	aroma		
81.813	0.0	162	81813	word	explode		
82.716	0.0	162	82716	word	challenge		
83.535	0.0	162	83535	word	jam		
84.27	0.0	162	84270	word	finger		
85.14	0.0	162	85140	word	report		
85.959	0.0	162	85959	word	foray		
86.744	0.0	166	86744	probe	probe_exterior	no	1
88.918	0.0	163	88918	word	stab		
89.687	0.0	162	89687	word	rate		
90.305	0.0	162	90305	word	convey		
91.074	0.0	162	91074	word	vile		
91.86	0.0	162	91860	word	node		
92.545	0.0	162	92545	word	beverage		
93.314	0.0	166	93314	probe	probe_conceive	no	1
94.635	0.0	163	94635	word	seem		
95.454	0.0	162	95454	word	knee		
96.022	0.0	162	96022	word	escort		
96.791	0.0	162	96791	word	expense		
97.677	0.0	162	97677	word	inflict		
98.664	0.0	162	98664	word	orchid		
99.382	0.0	162	99382	word	knife		
100.068	0.0	162	100068	word	tactic		
100.82	0.0	162	100820	word	spur		
101.572	0.0	162	101572	word	rapt		
102.241	0.0	162	102241	word	consolidate		
103.227	0.0	162	103227	word	rally		
103.963	0.0	166	103963	probe	probe_threat	no	1
106.086	0.0	163	106086	word	talent		
106.821	0.0	162	106821	word	torrent		
107.54	0.0	162	107540	word	bran		
108.343	0.0	162	108343	word	plot		
109.011	0.0	162	109011	word	punish		
109.73	0.0	162	109730	word	gurgle		
110.416	0.0	162	110416	word	somber		
111.218	0.0	162	111218	word	grammar		
111.954	0.0	162	111954	word	stash		
112.957	0.0	162	112957	word	peril		
113.558	0.0	162	113558	word	sigh		
114.378	0.0	162	114378	word	botch		
115.063	0.0	162	115063	word	electric		
116.016	0.0	162	116016	word	snip		
116.768	0.0	162	116768	word	initial		
117.437	0.0	162	117437	word	cylinder		
118.323	0.0	162	118323	word	troop		
118.991	0.0	162	118991	word	share		
119.694	0.0	162	119694	word	posture		
120.563	0.0	167	120563	probe	probe_position	yes	2
122.335	0.0	163	122335	word	fog		
123.137	0.0	162	123137	word	scene		
123.94	0.0	162	123940	word	pulp		
124.508	0.0	162	124508	word	connect		
125.16	0.0	162	125160	word	venture		
126.013	0.0	162	126013	word	salary		
126.865	0.0	162	126865	word	swim		
127.601	0.0	162	127601	word	carnival		
128.403	0.0	162	128403	word	fray		
129.088	0.0	162	129088	word	eliminate		
129.974	0.0	162	129974	word	develop		
130.76	0.0	162	130760	word	umpire		
131.546	0.0	162	131546	word	disrupt		
132.432	0.0	162	132432	word	rinse		
133.335	0.0	162	133335	word	predicament		
134.187	0.0	162	134187	word	scalpel		
134.99	0.0	162	134990	word	reduce		
135.792	0.0	162	135792	word	rocket		
136.561	0.0	162	136561	word	coarse		
137.263	0.0	167	137263	probe	probe_rough	yes	2
138.734	0.0	163	138734	word	severe		
139.503	0.0	162	139503	word	exam		
140.322	0.0	162	140322	word	dribble		
140.924	0.0	162	140924	word	gown		
141.71	0.0	162	141710	word	barren		
