onset	duration	value	sample	trial_type	word	probe_type	response
41.195	0.0	162	41195	word	dialogue		
42.114	0.0	162	42114	word	phantom		
43.034	0.0	162	43034	word	observe		
43.987	0.0	162	43987	word	sect		
44.722	0.0	162	44722	word	fest		
45.525	0.0	162	45525	word	precinct		
46.411	0.0	162	46411	word	cycle		
47.129	0.0	162	47129	word	reside		
47.999	0.0	162	47999	word	wide		
48.584	0.0	162	48584	word	remedy		
49.353	0.0	162	49353	word	male		
50.021	0.0	162	50021	word	shear		
50.724	0.0	162	50724	word	equity		
51.459	0.0	162	51459	word	droop		
52.078	0.0	162	52078	word	trim		
52.763	0.0	162	52763	word	message		
53.532	0.0	162	53532	word	run		
54.167	0.0	162	54167	word	violin		
55.053	0.0	162	55053	word	staunch		
55.956	0.0	162	55956	word	organize		
57.042	0.0	167	57042	probe	probe_coordinate	yes	2
58.965	0.0	163	58965	word	commute		
59.667	0.0	162	59667	word	deny		
60.67	0.0	162	60670	word	bore		
61.289	0.0	162	61289	word	raw		
61.907	0.0	162	61907	word	ferocious		
62.827	0.0	162	62827	word	dictate		
63.495	0.0	162	63495	word	imitate		
64.147	0.0	162	64147	word	wander		
64.9	0.0	162	64900	word	lumbar		
65.802	0.0	162	65802	word	mug		
66.504	0.0	162	66504	word	easel		
67.206	0.0	162	67206	word	feud		
67.959	0.0	162	67959	word	ceiling		
68.795	0.0	162	68795	word	aroma		
69.614	0.0	162	69614	word	explode		
70.516	0.0	162	70516	word	challenge		
71.336	0.0	162	71336	word	jam		
72.071	0.0	162	72071	word	finger		
72.94	0.0	162	72940	word	report		
73.76	0.0	162	73760	word	foray		
74.545	0.0	166	74545	probe	probe_exterior	no	1
76.0	0.0	163	76000	word	stab		
76.769	0.0	162	76769	word	rate		
77.387	0.0	162	77387	word	convey		
78.156	0.0	162	78156	word	vile		
78.942	0.0	162	78942	word	node		
79.627	0.0	162	79627	word	beverage		
80.396	0.0	166	80396	probe	probe_conceive	no	1
81.834	0.0	163	81834	word	seem		
82.653	0.0	162	82653	word	knee		
83.221	0.0	162	83221	word	escort		
83.974	0.0	162	83974	word	expense		
84.86	0.0	162	84860	word	inflict		
85.846	0.0	162	85846	word	orchid		
86.565	0.0	162	86565	word	knife		
87.25	0.0	162	87250	word	tactic		
88.002	0.0	162	88002	word	spur		
88.771	0.0	162	88771	word	rapt		
89.423	0.0	162	89423	word	consolidate		
90.393	0.0	162	90393	word	rally		
91.128	0.0	166	91128	probe	probe_threat	no	1
93.185	0.0	163	93185	word	talent		
93.92	0.0	162	93920	word	torrent		
94.639	0.0	162	94639	word	bran		
95.441	0.0	162	95441	word	plot		
96.11	0.0	162	96110	word	punish		
96.812	0.0	162	96812	word	gurgle		
97.498	0.0	162	97498	word	somber		
98.3	0.0	162	98300	word	grammar		
99.036	0.0	162	99036	word	stash		
100.039	0.0	162	100039	word	peril		
