onset	duration	value	sample	trial_type	word	probe_type	response
40.814	0.0	162	40814	word	dialogue		
41.717	0.0	162	41717	word	phantom		
42.636	0.0	162	42636	word	observe		
43.572	0.0	162	43572	word	sect		
44.308	0.0	162	44308	word	fest		
45.093	0.0	162	45093	word	precinct		
45.979	0.0	162	45979	word	cycle		
46.682	0.0	162	46682	word	reside		
47.551	0.0	162	47551	word	wide		
48.136	0.0	162	48136	word	remedy		
48.905	0.0	162	48905	word	male		
49.574	0.0	162	49574	word	shear		
50.276	0.0	162	50276	word	equity		
51.011	0.0	162	51011	word	droop		
51.63	0.0	162	51630	word	trim		
52.315	0.0	162	52315	word	message		
53.067	0.0	162	53067	word	run		
53.686	0.0	162	53686	word	violin		
54.572	0.0	162	54572	word	staunch		
55.491	0.0	162	55491	word	organize		
56.578	0.0	167	56578	probe	probe_coordinate	yes	2
58.233	0.0	163	58233	word	commute		
58.935	0.0	162	58935	word	deny		
59.938	0.0	162	59938	word	bore		
60.573	0.0	162	60573	word	raw		
61.192	0.0	162	61192	word	ferocious		
62.111	0.0	162	62111	word	dictate		
62.78	0.0	162	62780	word	imitate		
63.432	0.0	162	63432	word	wander		
64.184	0.0	162	64184	word	lumbar		
65.087	0.0	162	65087	word	mug		
65.789	0.0	162	65789	word	easel		
66.491	0.0	162	66491	word	feud		
67.243	0.0	162	67243	word	ceiling		
68.079	0.0	162	68079	word	aroma		
68.882	0.0	162	68882	word	explode		
69.768	0.0	162	69768	word	challenge		
70.587	0.0	162	70587	word	jam		
71.322	0.0	162	71322	word	finger		
72.192	0.0	162	72192	word	report		
73.011	0.0	162	73011	word	foray		
73.796	0.0	166	73796	probe	probe_exterior	no	2
75.635	0.0	163	75635	word	stab		
76.404	0.0	162	76404	word	rate		
77.023	0.0	162	77023	word	convey		
77.792	0.0	162	77792	word	vile		
78.577	0.0	162	78577	word	node		
79.263	0.0	162	79263	word	beverage		
80.032	0.0	166	80032	probe	probe_conceive	no	1
81.286	0.0	163	81286	word	seem		
82.105	0.0	162	82105	word	knee		
82.673	0.0	162	82673	word	escort		
83.425	0.0	162	83425	word	expense		
84.311	0.0	162	84311	word	inflict		
85.314	0.0	162	85314	word	orchid		
86.033	0.0	162	86033	word	knife		
86.719	0.0	162	86719	word	tactic		
87.471	0.0	162	87471	word	spur		
88.24	0.0	162	88240	word	rapt		
88.909	0.0	162	88909	word	consolidate		
89.895	0.0	162	89895	word	rally		
90.63	0.0	166	90630	probe	probe_threat	no	1
91.817	0.0	163	91817	word	talent		
92.553	0.0	162	92553	word	torrent		
93.272	0.0	162	93272	word	bran		
94.074	0.0	162	94074	word	plot		
94.743	0.0	162	94743	word	punish		
95.445	0.0	162	95445	word	gurgle		
96.114	0.0	162	96114	word	somber		
96.916	0.0	162	96916	word	grammar		
97.635	0.0	162	97635	word	stash		
98.638	0.0	162	98638	word	peril		
99.256	0.0	162	99256	word	sigh		
100.092	0.0	162	100092	word	botch		
100.778	0.0	162	100778	word	electric		
101.73	0.0	162	101730	word	snip		
102.499	0.0	162	102499	word	initial		
103.168	0.0	162	103168	word	cylinder		
104.054	0.0	162	104054	word	troop		
104.706	0.0	162	104706	word	share		
105.408	0.0	162	105408	word	posture		
106.277	0.0	167	106277	probe	probe_position	yes	2
107.498	0.0	163	107498	word	fog		
108.3	0.0	162	108300	word	scene		
109.119	0.0	162	109119	word	pulp		
109.688	0.0	162	109688	word	connect		
110.34	0.0	162	110340	word	venture		
111.192	0.0	162	111192	word	salary		
112.045	0.0	162	112045	word	swim		
112.797	0.0	162	112797	word	carnival		
113.599	0.0	162	113599	word	fray		
114.285	0.0	162	114285	word	eliminate		
115.171	0.0	162	115171	word	develop		
115.957	0.0	162	115957	word	umpire		
116.726	0.0	162	116726	word	disrupt		
117.612	0.0	162	117612	word	rinse		
118.514	0.0	162	118514	word	predicament		
119.367	0.0	162	119367	word	scalpel		
120.169	0.0	162	120169	word	reduce		
120.972	0.0	162	120972	word	rocket		
121.724	0.0	162	121724	word	coarse		
122.426	0.0	167	122426	probe	probe_rough	yes	2
124.699	0.0	163	124699	word	severe		
125.468	0.0	162	125468	word	exam		
126.288	0.0	162	126288	word	dribble		
126.889	0.0	162	126889	word	gown		
127.675	0.0	162	127675	word	barren		
128.361	0.0	162	128361	word	stamp		
129.129	0.0	162	129129	word	crux		
129.815	0.0	162	129815	word	mile		
130.483	0.0	166	130483	probe	probe_rhinoceros	no	1
131.971	0.0	163	131971	word	stink		
132.79	0.0	162	132790	word	velocity		
133.727	0.0	162	133727	word	abroad		
134.663	0.0	162	134663	word	compete		
135.348	0.0	162	135348	word	else		
136.034	0.0	162	136034	word	adept		
136.836	0.0	162	136836	word	eager		
137.471	0.0	162	137471	word	relic		
138.09	0.0	162	138090	word	pinch		
138.809	0.0	162	138809	word	anvil		
139.611	0.0	162	139611	word	come		
140.28	0.0	162	140280	word	braid		
140.932	0.0	162	140932	word	concern		
141.767	0.0	162	141767	word	catch		
142.637	0.0	162	142637	word	vector		
143.422	0.0	162	143422	word	chime		
144.141	0.0	167	144141	probe	probe_bell	yes	2
145.261	0.0	163	145261	word	autumn		
146.097	0.0	162	146097	word	elevate		
146.849	0.0	162	146849	word	file		
147.535	0.0	162	147535	word	desk		
148.22	0.0	162	148220	word	glaze		
149.006	0.0	162	149006	word	conserve		
149.909	0.0	162	149909	word	five		
150.694	0.0	162	150694	word	posse		
151.413	0.0	162	151413	word	indict		
152.149	0.0	162	152149	word	shrewd		
152.918	0.0	162	152918	word	metal		
153.503	0.0	162	153503	word	care		
154.138	0.0	167	154138	probe	probe_aid	yes	2
155.225	0.0	163	155225	word	proxy		
156.044	0.0	166	156044	probe	probe_lug	no	1
157.364	0.0	163	157364	word	graduate		
158.184	0.0	162	158184	word	nominate		
159.053	0.0	162	159053	word	tame		
159.705	0.0	162	159705	word	census		
160.624	0.0	162	160624	word	baboon		
161.376	0.0	162	161376	word	analog		
162.212	0.0	162	162212	word	abstract		
163.115	0.0	162	163115	word	jubilee		
164.018	0.0	162	164018	word	hideous		
164.837	0.0	162	164837	word	oasis		
165.623	0.0	162	165623	word	settle		
166.341	0.0	162	166341	word	lilac		
167.177	0.0	167	167177	probe	probe_lavender	yes	2
168.197	0.0	163	168197	word	quote		
168.799	0.0	162	168799	word	parade		
169.484	0.0	162	169484	word	cower		
170.153	0.0	162	170153	word	cauldron		
170.955	0.0	162	170955	word	groove		
171.691	0.0	162	171691	word	brittle		
172.343	0.0	166	172343	probe	probe_ambient	no	1
173.362	0.0	163	173362	word	roster		
174.182	0.0	162	174182	word	vast		
175.218	0.0	162	175218	word	succulent		
176.104	0.0	162	176104	word	sprain		
176.923	0.0	162	176923	word	nickel		
177.542	0.0	162	177542	word	instinct		
178.545	0.0	162	178545	word	mundane		
179.397	0.0	162	179397	word	quartet		
180.166	0.0	162	180166	word	grew		
180.919	0.0	162	180919	word	athlete		
181.754	0.0	166	181754	probe	probe_hut	no	1
182.741	0.0	163	182741	word	trickle		
183.476	0.0	162	183476	word	lift		
184.212	0.0	162	184212	word	pulse		
184.997	0.0	162	184997	word	huddle		
185.666	0.0	162	185666	word	contain		
186.535	0.0	162	186535	word	orthodox		
187.505	0.0	162	187505	word	opportune		
188.558	0.0	166	188558	probe	probe_concoct	no	1
189.478	0.0	163	189478	word	stub		
190.247	0.0	162	190247	word	direct		
190.965	0.0	162	190965	word	chest		
191.768	0.0	162	191768	word	progress		
192.604	0.0	162	192604	word	serve		
193.506	0.0	162	193506	word	expect		
194.326	0.0	162	194326	word	mule		
195.128	0.0	162	195128	word	approximate		
196.031	0.0	162	196031	word	ordeal		
196.9	0.0	162	196900	word	surge		
197.786	0.0	162	197786	word	ambiguous		
198.705	0.0	162	198705	word	device		
199.491	0.0	162	199491	word	pledge		
200.126	0.0	162	200126	word	offer		
200.895	0.0	167	200895	probe	probe_volunteer	yes	2
202.149	0.0	163	202149	word	tail		
202.834	0.0	162	202834	word	nutrient		
203.654	0.0	162	203654	word	injury		
204.506	0.0	162	204506	word	bite		
205.125	0.0	162	205125	word	resplendent		
206.061	0.0	162	206061	word	leaf		
206.78	0.0	162	206780	word	grass		
207.565	0.0	162	207565	word	sloth		
208.384	0.0	166	208384	probe	probe_tardy	no	1
209.454	0.0	163	209454	word	domain		
