onset	duration	value	sample	trial_type	word	probe_type	response
39.465	0.0	162	39465	word	dialogue		
40.367	0.0	162	40367	word	phantom		
41.287	0.0	162	41287	word	observe		
42.223	0.0	162	42223	word	sect		
42.958	0.0	162	42958	word	fest		
43.744	0.0	162	43744	word	precinct		
44.63	0.0	162	44630	word	cycle		
45.349	0.0	162	45349	word	reside		
46.218	0.0	162	46218	word	wide		
46.803	0.0	162	46803	word	remedy		
47.572	0.0	162	47572	word	male		
48.241	0.0	162	48241	word	shear		
48.943	0.0	162	48943	word	equity		
49.679	0.0	162	49679	word	droop		
50.297	0.0	162	50297	word	trim		
50.982	0.0	162	50982	word	message		
51.751	0.0	162	51751	word	run		
52.387	0.0	162	52387	word	violin		
53.289	0.0	162	53289	word	staunch		
54.209	0.0	162	54209	word	organize		
55.279	0.0	167	55279	probe	probe_coordinate	yes	2
57.602	0.0	163	57602	word	commute		
58.305	0.0	162	58305	word	deny		
59.308	0.0	162	59308	word	bore		
59.926	0.0	162	59926	word	raw		
60.528	0.0	162	60528	word	ferocious		
61.447	0.0	162	61447	word	dictate		
62.099	0.0	162	62099	word	imitate		
62.751	0.0	162	62751	word	wander		
63.503	0.0	162	63503	word	lumbar		
64.406	0.0	162	64406	word	mug		
65.108	0.0	162	65108	word	easel		
65.81	0.0	162	65810	word	feud		
66.563	0.0	162	66563	word	ceiling		
67.398	0.0	162	67398	word	aroma		
68.218	0.0	162	68218	word	explode		
69.12	0.0	162	69120	word	challenge		
69.939	0.0	162	69939	word	jam		
70.675	0.0	162	70675	word	finger		
71.544	0.0	162	71544	word	report		
72.363	0.0	162	72363	word	foray		
73.149	0.0	166	73149	probe	probe_exterior	no	1
77.328	0.0	163	77328	word	stab		
78.097	0.0	162	78097	word	rate		
78.716	0.0	162	78716	word	convey		
79.468	0.0	162	79468	word	vile		
80.254	0.0	162	80254	word	node		
80.939	0.0	162	80939	word	beverage		
81.708	0.0	166	81708	probe	probe_conceive	no	1
84.182	0.0	163	84182	word	seem		
84.985	0.0	162	84985	word	knee		
85.536	0.0	162	85536	word	escort		
86.289	0.0	162	86289	word	expense		
87.191	0.0	162	87191	word	inflict		
88.178	0.0	162	88178	word	orchid		
88.896	0.0	162	88896	word	knife		
89.582	0.0	162	89582	word	tactic		
90.334	0.0	162	90334	word	spur		
91.103	0.0	162	91103	word	rapt		
91.772	0.0	162	91772	word	consolidate		
92.758	0.0	162	92758	word	rally		
93.494	0.0	166	93494	probe	probe_threat	no	1
97.121	0.0	163	97121	word	talent		
97.857	0.0	162	97857	word	torrent		
98.576	0.0	162	98576	word	bran		
99.378	0.0	162	99378	word	plot		
100.047	0.0	162	100047	word	punish		
100.766	0.0	162	100766	word	gurgle		
101.451	0.0	162	101451	word	somber		
102.253	0.0	162	102253	word	grammar		
102.972	0.0	162	102972	word	stash		
103.975	0.0	162	103975	word	peril		
104.594	0.0	162	104594	word	sigh		
105.43	0.0	162	105430	word	botch		
106.115	0.0	162	106115	word	electric		
107.068	0.0	162	107068	word	snip		
107.837	0.0	162	107837	word	initial		
108.505	0.0	162	108505	word	cylinder		
109.391	0.0	162	109391	word	troop		
110.043	0.0	162	110043	word	share		
110.746	0.0	162	110746	word	posture		
111.615	0.0	167	111615	probe	probe_position	yes	2
113.571	0.0	163	113571	word	fog		
114.373	0.0	162	114373	word	scene		
