onset	duration	value	sample	trial_type	word	probe_type	response
30.368	0.0	162	30368	word	dialogue		
31.27	0.0	162	31270	word	phantom		
32.19	0.0	162	32190	word	observe		
33.143	0.0	162	33143	word	sect		
33.878	0.0	162	33878	word	fest		
34.664	0.0	162	34664	word	precinct		
35.55	0.0	162	35550	word	cycle		
36.269	0.0	162	36269	word	reside		
37.155	0.0	162	37155	word	wide		
37.74	0.0	162	37740	word	remedy		
38.526	0.0	162	38526	word	male		
39.194	0.0	162	39194	word	shear		
39.896	0.0	162	39896	word	equity		
40.632	0.0	162	40632	word	droop		
41.25	0.0	162	41250	word	trim		
41.936	0.0	162	41936	word	message		
42.705	0.0	162	42705	word	run		
43.34	0.0	162	43340	word	violin		
44.243	0.0	162	44243	word	staunch		
45.162	0.0	162	45162	word	organize		
46.249	0.0	167	46249	probe	probe_coordinate	yes	1
54.34	0.0	163	54340	word	commute		
55.042	0.0	162	55042	word	deny		
56.045	0.0	162	56045	word	bore		
56.663	0.0	162	56663	word	raw		
57.282	0.0	162	57282	word	ferocious		
58.201	0.0	162	58201	word	dictate		
58.87	0.0	162	58870	word	imitate		
59.522	0.0	162	59522	word	wander		
60.258	0.0	162	60258	word	lumbar		
61.16	0.0	162	61160	word	mug		
61.879	0.0	162	61879	word	easel		
62.581	0.0	162	62581	word	feud		
63.317	0.0	162	63317	word	ceiling		
64.153	0.0	162	64153	word	aroma		
64.972	0.0	162	64972	word	explode		
65.858	0.0	162	65858	word	challenge		
66.677	0.0	162	66677	word	jam		
67.412	0.0	162	67412	word	finger		
68.282	0.0	162	68282	word	report		
69.101	0.0	162	69101	word	foray		
69.886	0.0	166	69886	probe	probe_exterior	no	1
74.551	0.0	163	74551	word	stab		
75.32	0.0	162	75320	word	rate		
75.955	0.0	162	75955	word	convey		
76.707	0.0	162	76707	word	vile		
77.493	0.0	162	77493	word	node		
78.178	0.0	162	78178	word	beverage		
78.947	0.0	166	78947	probe	probe_conceive	no	1
82.14	0.0	163	82140	word	seem		
82.959	0.0	162	82959	word	knee		
83.528	0.0	162	83528	word	escort		
84.28	0.0	162	84280	word	expense		
85.183	0.0	162	85183	word	inflict		
86.169	0.0	162	86169	word	orchid		
86.888	0.0	162	86888	word	knife		
87.573	0.0	162	87573	word	tactic		
88.325	0.0	162	88325	word	spur		
89.078	0.0	162	89078	word	rapt		
89.73	0.0	162	89730	word	consolidate		
90.699	0.0	162	90699	word	rally		
91.435	0.0	166	91435	probe	probe_threat	no	1
103.722	0.0	163	103722	word	talent		
104.457	0.0	162	104457	word	torrent		
105.193	0.0	162	105193	word	bran		
105.995	0.0	162	105995	word	plot		
106.664	0.0	162	106664	word	punish		
107.383	0.0	162	107383	word	gurgle		
108.068	0.0	162	108068	word	somber		
108.871	0.0	162	108871	word	grammar		
109.606	0.0	162	109606	word	stash		
110.609	0.0	162	110609	word	peril		
111.228	0.0	162	111228	word	sigh		
112.063	0.0	162	112063	word	botch		
112.749	0.0	162	112749	word	electric		
113.702	0.0	162	113702	word	snip		
114.471	0.0	162	114471	word	initial		
115.139	0.0	162	115139	word	cylinder		
116.042	0.0	162	116042	word	troop		
116.711	0.0	162	116711	word	share		
117.413	0.0	162	117413	word	posture		
118.282	0.0	167	118282	probe	probe_position	yes	1
127.711	0.0	163	127711	word	fog		
128.513	0.0	162	128513	word	scene		
129.315	0.0	162	129315	word	pulp		
129.884	0.0	162	129884	word	connect		
130.536	0.0	162	130536	word	venture		
131.372	0.0	162	131372	word	salary		
132.224	0.0	162	132224	word	swim		
132.96	0.0	162	132960	word	carnival		
133.762	0.0	162	133762	word	fray		
134.447	0.0	162	134447	word	eliminate		
135.35	0.0	162	135350	word	develop		
136.136	0.0	162	136136	word	umpire		
136.922	0.0	162	136922	word	disrupt		
137.808	0.0	162	137808	word	rinse		
138.71	0.0	162	138710	word	predicament		
139.563	0.0	162	139563	word	scalpel		
140.349	0.0	162	140349	word	reduce		
141.134	0.0	162	141134	word	rocket		
141.887	0.0	162	141887	word	coarse		
142.588	0.0	167	142588	probe	probe_rough	yes	2
148.59	0.0	163	148590	word	severe		
149.359	0.0	162	149359	word	exam		
150.178	0.0	162	150178	word	dribble		
150.78	0.0	162	150780	word	gown		
151.566	0.0	162	151566	word	barren		
152.251	0.0	162	152251	word	stamp		
153.02	0.0	162	153020	word	crux		
153.722	0.0	162	153722	word	mile		
154.391	0.0	166	154391	probe	probe_rhinoceros	no	2
158.42	0.0	163	158420	word	stink		
159.239	0.0	162	159239	word	velocity		
160.175	0.0	162	160175	word	abroad		
161.111	0.0	162	161111	word	compete		
161.796	0.0	162	161796	word	else		
162.482	0.0	162	162482	word	adept		
163.284	0.0	162	163284	word	eager		
163.936	0.0	162	163936	word	relic		
164.571	0.0	162	164571	word	pinch		
165.29	0.0	162	165290	word	anvil		
166.093	0.0	162	166093	word	come		
166.761	0.0	162	166761	word	braid		
167.413	0.0	162	167413	word	concern		
168.249	0.0	162	168249	word	catch		
169.102	0.0	162	169102	word	vector		
169.887	0.0	162	169887	word	chime		
170.623	0.0	167	170623	probe	probe_bell	yes	2
177.828	0.0	163	177828	word	autumn		
178.664	0.0	162	178664	word	elevate		
179.416	0.0	162	179416	word	file		
180.101	0.0	162	180101	word	desk		
180.787	0.0	162	180787	word	glaze		
181.589	0.0	162	181589	word	conserve		
182.475	0.0	162	182475	word	five		
183.261	0.0	162	183261	word	posse		
183.963	0.0	162	183963	word	indict		
184.682	0.0	162	184682	word	shrewd		
185.451	0.0	162	185451	word	metal		
186.019	0.0	162	186019	word	care		
186.654	0.0	167	186654	probe	probe_aid	yes	2
188.811	0.0	163	188811	word	proxy		
189.63	0.0	166	189630	probe	probe_lug	no	1
195.983	0.0	163	195983	word	graduate		
196.802	0.0	162	196802	word	nominate		
197.671	0.0	162	197671	word	tame		
198.323	0.0	162	198323	word	census		
199.226	0.0	162	199226	word	baboon		
199.978	0.0	162	199978	word	analog		
200.814	0.0	162	200814	word	abstract		
201.716	0.0	162	201716	word	jubilee		
202.602	0.0	162	202602	word	hideous		
203.405	0.0	162	203405	word	oasis		
204.191	0.0	162	204191	word	settle		
204.909	0.0	162	204909	word	lilac		
205.745	0.0	167	205745	probe	probe_lavender	yes	2
207.852	0.0	163	207852	word	quote		
208.453	0.0	162	208453	word	parade		
209.139	0.0	162	209139	word	cower		
209.807	0.0	162	209807	word	cauldron		
210.61	0.0	162	210610	word	groove		
211.345	0.0	162	211345	word	brittle		
211.981	0.0	166	211981	probe	probe_ambient	no	2
215.658	0.0	163	215658	word	roster		
216.494	0.0	162	216494	word	vast		
217.514	0.0	162	217514	word	succulent		
218.4	0.0	162	218400	word	sprain		
219.219	0.0	162	219219	word	nickel		
219.854	0.0	162	219854	word	instinct		
220.874	0.0	162	220874	word	mundane		
221.71	0.0	162	221710	word	quartet		
222.479	0.0	162	222479	word	grew		
223.231	0.0	162	223231	word	athlete		
224.067	0.0	166	224067	probe	probe_hut	no	1
227.076	0.0	163	227076	word	trickle		
227.812	0.0	162	227812	word	lift		
228.547	0.0	162	228547	word	pulse		
229.333	0.0	162	229333	word	huddle		
230.002	0.0	162	230002	word	contain		
230.871	0.0	162	230871	word	orthodox		
231.84	0.0	162	231840	word	opportune		
232.893	0.0	166	232893	probe	probe_concoct	no	2
238.076	0.0	163	238076	word	stub		
238.845	0.0	162	238845	word	direct		
239.564	0.0	162	239564	word	chest		
240.366	0.0	162	240366	word	progress		
241.202	0.0	162	241202	word	serve		
242.105	0.0	162	242105	word	expect		
242.924	0.0	162	242924	word	mule		
243.709	0.0	162	243709	word	approximate		
244.612	0.0	162	244612	word	ordeal		
245.481	0.0	162	245481	word	surge		
246.351	0.0	162	246351	word	ambiguous		
247.27	0.0	162	247270	word	device		
