onset	duration	value	sample	trial_type	word	probe_type	response
55.078	0.0	162	55078	word	dialogue		
55.997	0.0	162	55997	word	phantom		
56.916	0.0	162	56916	word	observe		
57.852	0.0	162	57852	word	sect		
58.571	0.0	162	58571	word	fest		
59.357	0.0	162	59357	word	precinct		
60.243	0.0	162	60243	word	cycle		
60.962	0.0	162	60962	word	reside		
61.848	0.0	162	61848	word	wide		
62.433	0.0	162	62433	word	remedy		
63.202	0.0	162	63202	word	male		
63.871	0.0	162	63871	word	shear		
64.573	0.0	162	64573	word	equity		
65.325	0.0	162	65325	word	droop		
65.943	0.0	162	65943	word	trim		
66.629	0.0	162	66629	word	message		
67.398	0.0	162	67398	word	run		
68.033	0.0	162	68033	word	violin		
68.936	0.0	162	68936	word	staunch		
69.855	0.0	162	69855	word	organize		
70.942	0.0	167	70942	probe	probe_coordinate	yes	2
72.346	0.0	163	72346	word	commute		
73.048	0.0	162	73048	word	deny		
74.051	0.0	162	74051	word	bore		
74.686	0.0	162	74686	word	raw		
75.305	0.0	162	75305	word	ferocious		
76.224	0.0	162	76224	word	dictate		
76.893	0.0	162	76893	word	imitate		
77.545	0.0	162	77545	word	wander		
78.297	0.0	162	78297	word	lumbar		
79.217	0.0	162	79217	word	mug		
79.936	0.0	162	79936	word	easel		
80.638	0.0	162	80638	word	feud		
81.373	0.0	162	81373	word	ceiling		
82.226	0.0	162	82226	word	aroma		
83.045	0.0	162	83045	word	explode		
83.948	0.0	162	83948	word	challenge		
84.767	0.0	162	84767	word	jam		
85.502	0.0	162	85502	word	finger		
86.372	0.0	162	86372	word	report		
87.191	0.0	162	87191	word	foray		
87.976	0.0	166	87976	probe	probe_exterior	no	1
89.548	0.0	163	89548	word	stab		
90.317	0.0	162	90317	word	rate		
90.935	0.0	162	90935	word	convey		
91.704	0.0	162	91704	word	vile		
92.49	0.0	162	92490	word	node		
93.175	0.0	162	93175	word	beverage		
93.944	0.0	166	93944	probe	probe_conceive	no	1
95.432	0.0	163	95432	word	seem		
96.251	0.0	162	96251	word	knee		
96.803	0.0	162	96803	word	escort		
97.572	0.0	162	97572	word	expense		
98.475	0.0	162	98475	word	inflict		
99.461	0.0	162	99461	word	orchid		
100.18	0.0	162	100180	word	knife		
100.865	0.0	162	100865	word	tactic		
101.617	0.0	162	101617	word	spur		
102.37	0.0	162	102370	word	rapt		
103.022	0.0	162	103022	word	consolidate		
103.991	0.0	162	103991	word	rally		
104.727	0.0	166	104727	probe	probe_threat	no	2
105.696	0.0	163	105696	word	talent		
106.432	0.0	162	106432	word	torrent		
107.167	0.0	162	107167	word	bran		
107.97	0.0	162	107970	word	plot		
108.638	0.0	162	108638	word	punish		
109.341	0.0	162	109341	word	gurgle		
110.026	0.0	162	110026	word	somber		
110.828	0.0	162	110828	word	grammar		
111.564	0.0	162	111564	word	stash		
112.567	0.0	162	112567	word	peril		
